\ N0=10.79
\ Y=18.03
\ i=54.45
\ q=1.917
\ sigma=42.44
\ tv=187.9
\ This is a dust torus emission obtained from the median parameter values of
\ best-fit CLUMPY models of PG quasars.
\ The wavelength is in the unit micron and the flux density (fnu) is normalised
\ to be integrated as 1.
\ The template is generated by SGJY at Mon May 29 20:35:29 2017 in KIAA-PKU.
|    wavelength|             flux|
|        double|           double|
|              |                 |
|          null|             null|
  2.40647515002 3.72706419259e-16 
  2.42876438246 3.78072653984e-16 
  2.45126006203 3.83566707006e-16 
  2.47396410089 3.89192756943e-16 
  2.49687842888 3.94954182253e-16 
  2.52000499376 4.00855487545e-16 
   2.5433457613 4.06901266336e-16 
  2.56690271549 4.13095341616e-16 
  2.59067785869 4.19442692165e-16 
   2.6146732118 4.25947407694e-16 
  2.63889081446 4.32614763338e-16 
  2.66333272517 4.39449174799e-16 
  2.68800102154 4.45427058455e-16 
  2.71289780037  4.5043461364e-16 
  2.73802517793  4.5554447088e-16 
  2.76338529005 4.60760838429e-16 
  2.78898029238 4.66086116769e-16 
  2.81481236051  4.7152258784e-16 
  2.84088369018 4.77074874796e-16 
  2.86719649749 4.82744518685e-16 
  2.89375301905 4.88534038534e-16 
  2.92055551218 4.94448383485e-16 
  2.94760625512 5.00490339285e-16 
  2.97490754721 5.06661832246e-16 
  3.00246170909 5.12969056207e-16 
  3.03027108287  5.1941414493e-16 
  3.05833803238 5.26000239787e-16 
  3.08666494334 5.32733030813e-16 
  3.11525422356 5.39614829582e-16 
  3.14410830315 5.46650259247e-16 
  3.17322963473 5.53844417129e-16 
  3.20262069366 5.61200978041e-16 
  3.23228397818 5.68725157847e-16 
  3.26222200971 5.76421046258e-16 
  3.29243733301 5.84300734595e-16 
   3.3229325164 5.92385619754e-16 
    3.353710152 6.00660231956e-16 
  3.38477285595  6.0912800893e-16 
  3.41612326859 6.17795174151e-16 
  3.44776405473 6.26666824938e-16 
  3.47969790389 6.35751081444e-16 
  3.51192753045 6.45051914838e-16 
  3.54445567397 6.54578037983e-16 
  3.57728509937 6.64335200183e-16 
  3.61041859717 6.74328202404e-16 
  3.64385898376 6.84567654187e-16 
   3.6776091016 6.95060253175e-16 
  3.71167181948 7.05812993367e-16 
  3.74605003275 7.16832690949e-16 
   3.7807466636 7.28129955462e-16 
  3.81576466127 7.39710891837e-16 
  3.85110700233 7.51588243378e-16 
  3.88677669089 7.63766929592e-16 
  3.92277675893 7.76258923258e-16 
  3.95911026647 7.89074774646e-16 
   3.9957803019 8.02223730059e-16 
  4.03278998219 8.15715391428e-16 
  4.07014245322 8.31494683219e-16 
  4.10784088997 8.47917956368e-16 
  4.14588849683 8.64821385338e-16 
   4.1842885079 8.82222573668e-16 
  4.22304418721 9.00139895424e-16 
  4.26215882902 9.18592554468e-16 
  4.30163575811 9.37600465915e-16 
  4.34147833006 9.57182537273e-16 
  4.38168993151 9.77360283979e-16 
  4.42227398051  9.9815616981e-16 
  4.46323392671 1.01959384397e-15 
  4.50457325176 1.04169547387e-15 
  4.54629546953 1.06448891697e-15 
  4.58840412645 1.08800096384e-15 
   4.6309028018 1.11225449317e-15 
  4.67379510799 1.13728328951e-15 
  4.71708469092 1.16311307657e-15 
  4.76077523023 1.18977740182e-15 
  4.80487043966 1.21730981276e-15 
  4.84937406734 1.24574184165e-15 
  4.89428989611  1.2751123704e-15 
  4.93962174388 1.30545328688e-15 
  4.98537346387 1.33785518079e-15 
  5.03154894504 1.37197096011e-15 
  5.07815211233 1.40728709935e-15 
  5.12518692705 1.44384852606e-15 
  5.17265738722 1.48171439287e-15 
  5.22056752785 1.52094065179e-15 
  5.26892142135 1.56157910581e-15 
  5.31772317785 1.60369779825e-15 
  5.36697694554 1.64735765988e-15 
  5.41668691103 1.69262590423e-15 
  5.46685729972 1.73957353816e-15 
  5.51749237613 1.78827891817e-15 
  5.56859644429 1.83882028222e-15 
  5.62017384808 1.89127610535e-15 
  5.67222897164 1.94573221222e-15 
   5.7247662397 2.00228402944e-15 
  5.77779011797  2.0610314882e-15 
  5.83130511353 2.12206634031e-15 
  5.88531577519 2.18549883014e-15 
  5.93982669392 2.25144038752e-15 
  5.99484250319 2.32001334816e-15 
  6.05036787939 2.38858133002e-15 
  6.10640754223  2.4595486092e-15 
  6.16296625513 2.53330827216e-15 
  6.22004882563 2.60999047841e-15 
  6.27766010581 2.68852147128e-15 
  6.33580499266 2.76879527388e-15 
  6.39448842856 2.85224221833e-15 
  6.45371540165 2.93901095672e-15 
  6.51349094627 3.02849241843e-15 
  6.57382014341 3.11882809636e-15 
  6.63470812109 3.21272597216e-15 
  6.69616005485 3.31035911764e-15 
  6.75818116816 3.41137901829e-15 
  6.82077673287 3.51278821204e-15 
  6.88395206965 3.61820532291e-15 
  6.94771254846 3.72780057772e-15 
  7.01206358901 3.84082526295e-15 
  7.07701066118 3.95408916665e-15 
  7.14255928554 4.07178347243e-15 
  7.20871503378 4.19412297905e-15 
   7.2754835292 4.31925581778e-15 
  7.34287044717 4.44583724413e-15 
  7.41088151564 4.57736473181e-15 
  7.47952251562 4.71404549288e-15 
  7.54879928165 4.85039670619e-15 
  7.61871770232 4.98950805975e-15 
  7.68928372076 5.13395050024e-15 
  7.76050333513  5.2829800558e-15 
  7.83238259918 5.43183796203e-15 
   7.9049276227 5.58633706198e-15 
  7.97814457208 5.74671918206e-15 
  8.05203967083 5.90716436668e-15 
  8.12661920009 6.07096951589e-15 
   8.2018894992 6.24090567584e-15 
   8.2778569662 6.41658545012e-15 
  8.35452805838 6.59774614885e-15 
  8.43190929287 6.78576523423e-15 
  8.51000724712 6.98165600634e-15 
  8.58882855955 7.18992449729e-15 
  8.66837993002 7.44959817044e-15 
  8.74866812048 7.74966206992e-15 
  8.82969995549 8.07724676319e-15 
  8.91148232284 8.42045344254e-15 
  8.99402217409  8.7947589982e-15 
  9.07732652521 9.21012288492e-15 
  9.16140245714  9.6598981956e-15 
  9.24625711641 1.01388491514e-14 
  9.33189771573 1.06609836656e-14 
  9.41833153465 1.12251324365e-14 
   9.5055659201 1.17483632304e-14 
  9.59360828709 1.21894413254e-14 
   9.6824661193 1.26470812103e-14 
  9.77214696973 1.31819727789e-14 
  9.86265846131 1.37422020652e-14 
  9.95400828762 1.41987428253e-14 
  10.0462042135 1.45236114761e-14 
  10.1392540756 1.47950677854e-14 
  10.2331657833 1.50462353332e-14 
  10.3279473192 1.52537584298e-14 
  10.4236067398 1.54657055272e-14 
  10.5201521762 1.56686547854e-14 
  10.6175918348 1.58249144765e-14 
  10.7159339982 1.59873298351e-14 
  10.8151870255 1.61549601091e-14 
