#   wa_calc,   carbon,     silicate,     factor
     0.091   2.8112-143   2.3039-294   2.8112-143
     2.004   1.2834E-22   5.4388E-24   1.3378E-22
     2.028   1.3097E-22   5.4232E-24   1.3639E-22
     2.051   1.3294E-22   5.4065E-24   1.3835E-22
     2.075   1.3441E-22   5.3884E-24   1.3980E-22
     2.100   1.3551E-22   5.3691E-24   1.4088E-22
     2.124   1.3634E-22   5.3485E-24   1.4169E-22
     2.149   1.3693E-22   5.3273E-24   1.4226E-22
     2.174   1.3736E-22   5.3051E-24   1.4267E-22
     2.200   1.3768E-22   5.2821E-24   1.4296E-22
     2.225   1.3791E-22   5.2585E-24   1.4317E-22
     2.251   1.3807E-22   5.2339E-24   1.4330E-22
     2.278   1.3817E-22   5.2082E-24   1.4338E-22
     2.304   1.3823E-22   5.1816E-24   1.4341E-22
     2.331   1.3826E-22   5.1540E-24   1.4341E-22
     2.358   1.3826E-22   5.1253E-24   1.4338E-22
     2.386   1.3824E-22   5.0957E-24   1.4333E-22
     2.414   1.3820E-22   5.0652E-24   1.4327E-22
     2.442   1.3817E-22   5.0334E-24   1.4320E-22
     2.471   1.3813E-22   5.0010E-24   1.4313E-22
     2.499   1.3809E-22   4.9686E-24   1.4306E-22
     2.529   1.3807E-22   4.9361E-24   1.4301E-22
     2.558   1.3808E-22   4.9031E-24   1.4298E-22
     2.588   1.3812E-22   4.8697E-24   1.4299E-22
     2.618   1.3819E-22   4.8359E-24   1.4303E-22
     2.649   1.3829E-22   4.8017E-24   1.4309E-22
     2.680   1.3847E-22   4.7671E-24   1.4323E-22
     2.711   1.3874E-22   4.7321E-24   1.4347E-22
     2.743   1.3914E-22   4.6967E-24   1.4384E-22
     2.775   1.3974E-22   4.6607E-24   1.4440E-22
     2.807   1.4056E-22   4.6242E-24   1.4518E-22
     2.840   1.4167E-22   4.5875E-24   1.4625E-22
     2.873   1.4325E-22   4.5504E-24   1.4780E-22
     2.907   1.4543E-22   4.5130E-24   1.4994E-22
     2.941   1.4848E-22   4.4753E-24   1.5296E-22
     2.975   1.5285E-22   4.4373E-24   1.5729E-22
     3.010   1.5919E-22   4.3991E-24   1.6359E-22
     3.045   1.6879E-22   4.3606E-24   1.7315E-22
     3.081   1.8394E-22   4.3218E-24   1.8826E-22
     3.117   2.0960E-22   4.2844E-24   2.1388E-22
     3.153   2.5665E-22   4.2490E-24   2.6090E-22
     3.190   3.6166E-22   4.2137E-24   3.6588E-22
     3.227   6.5511E-22   4.1786E-24   6.5929E-22
     3.265   2.0214E-21   4.1434E-24   2.0256E-21
     3.303   7.9105E-21   4.1044E-24   7.9146E-21
     3.342   1.6150E-21   4.0646E-24   1.6191E-21
     3.381   5.8942E-22   4.0241E-24   5.9344E-22
     3.420   3.4217E-22   3.9827E-24   3.4616E-22
     3.460   2.4839E-22   3.9408E-24   2.5233E-22
     3.501   2.0310E-22   3.8987E-24   2.0700E-22
     3.541   1.7775E-22   3.8565E-24   1.8160E-22
     3.583   1.6205E-22   3.8141E-24   1.6586E-22
     3.625   1.5160E-22   3.7715E-24   1.5537E-22
     3.667   1.4426E-22   3.7289E-24   1.4798E-22
     3.710   1.3887E-22   3.6864E-24   1.4256E-22
     3.753   1.3479E-22   3.6440E-24   1.3843E-22
